qualified_third_groups,match_id,third_group
E-F-G-H-I-J-K-L,M74,F
E-F-G-H-I-J-K-L,M77,G
E-F-G-H-I-J-K-L,M79,E
E-F-G-H-I-J-K-L,M80,K
E-F-G-H-I-J-K-L,M81,I
E-F-G-H-I-J-K-L,M82,H
E-F-G-H-I-J-K-L,M85,J
E-F-G-H-I-J-K-L,M87,L
D-F-G-H-I-J-K-L,M74,D
D-F-G-H-I-J-K-L,M77,F
D-F-G-H-I-J-K-L,M79,H
D-F-G-H-I-J-K-L,M80,K
D-F-G-H-I-J-K-L,M81,I
D-F-G-H-I-J-K-L,M82,J
D-F-G-H-I-J-K-L,M85,G
D-F-G-H-I-J-K-L,M87,L
D-E-G-H-I-J-K-L,M74,D
D-E-G-H-I-J-K-L,M77,G
D-E-G-H-I-J-K-L,M79,E
D-E-G-H-I-J-K-L,M80,K
D-E-G-H-I-J-K-L,M81,I
D-E-G-H-I-J-K-L,M82,H
D-E-G-H-I-J-K-L,M85,J
D-E-G-H-I-J-K-L,M87,L
D-E-F-H-I-J-K-L,M74,D
D-E-F-H-I-J-K-L,M77,F
D-E-F-H-I-J-K-L,M79,E
D-E-F-H-I-J-K-L,M80,K
D-E-F-H-I-J-K-L,M81,I
D-E-F-H-I-J-K-L,M82,H
D-E-F-H-I-J-K-L,M85,J
D-E-F-H-I-J-K-L,M87,L
D-E-F-G-I-J-K-L,M74,D
D-E-F-G-I-J-K-L,M77,F
D-E-F-G-I-J-K-L,M79,E
D-E-F-G-I-J-K-L,M80,K
D-E-F-G-I-J-K-L,M81,I
D-E-F-G-I-J-K-L,M82,J
D-E-F-G-I-J-K-L,M85,G
D-E-F-G-I-J-K-L,M87,L
D-E-F-G-H-J-K-L,M74,D
D-E-F-G-H-J-K-L,M77,F
D-E-F-G-H-J-K-L,M79,E
D-E-F-G-H-J-K-L,M80,K
D-E-F-G-H-J-K-L,M81,J
D-E-F-G-H-J-K-L,M82,H
D-E-F-G-H-J-K-L,M85,G
D-E-F-G-H-J-K-L,M87,L
D-E-F-G-H-I-K-L,M74,D
D-E-F-G-H-I-K-L,M77,F
D-E-F-G-H-I-K-L,M79,E
D-E-F-G-H-I-K-L,M80,K
D-E-F-G-H-I-K-L,M81,I
D-E-F-G-H-I-K-L,M82,H
D-E-F-G-H-I-K-L,M85,G
D-E-F-G-H-I-K-L,M87,L
D-E-F-G-H-I-J-L,M74,D
D-E-F-G-H-I-J-L,M77,F
D-E-F-G-H-I-J-L,M79,E
D-E-F-G-H-I-J-L,M80,I
D-E-F-G-H-I-J-L,M81,J
D-E-F-G-H-I-J-L,M82,H
D-E-F-G-H-I-J-L,M85,G
D-E-F-G-H-I-J-L,M87,L
D-E-F-G-H-I-J-K,M74,D
D-E-F-G-H-I-J-K,M77,F
D-E-F-G-H-I-J-K,M79,E
D-E-F-G-H-I-J-K,M80,K
D-E-F-G-H-I-J-K,M81,J
D-E-F-G-H-I-J-K,M82,H
D-E-F-G-H-I-J-K,M85,G
D-E-F-G-H-I-J-K,M87,I
C-F-G-H-I-J-K-L,M74,C
C-F-G-H-I-J-K-L,M77,F
C-F-G-H-I-J-K-L,M79,H
C-F-G-H-I-J-K-L,M80,K
C-F-G-H-I-J-K-L,M81,I
C-F-G-H-I-J-K-L,M82,J
C-F-G-H-I-J-K-L,M85,G
C-F-G-H-I-J-K-L,M87,L
C-E-G-H-I-J-K-L,M74,C
C-E-G-H-I-J-K-L,M77,G
C-E-G-H-I-J-K-L,M79,E
C-E-G-H-I-J-K-L,M80,K
C-E-G-H-I-J-K-L,M81,I
C-E-G-H-I-J-K-L,M82,H
C-E-G-H-I-J-K-L,M85,J
C-E-G-H-I-J-K-L,M87,L
C-E-F-H-I-J-K-L,M74,C
C-E-F-H-I-J-K-L,M77,F
C-E-F-H-I-J-K-L,M79,E
