team_id,elo
MEX,1972.5
RSA,1581.5
KOR,1913.0
CZE,1726.0
CAN,1870.5
BIH,1496.5
QAT,1666.5
SUI,1955.5
BRA,2057.5
MAR,2006.5
HAI,1386.0
SCO,1794.0
USA,1981.0
PAR,1768.5
AUS,1879.0
TUR,1887.5
GER,2023.5
CUW,1403.0
CIV,1743.0
ECU,1904.5
NED,2040.5
JPN,1947.0
SWE,1734.5
TUN,1760.0
BEL,2032.0
EGY,1828.0
IRN,1930.0
NZL,1369.0
ESP,2091.5
CPV,1522.0
KSA,1590.0
URU,1964.0
FRA,2074.5
SEN,1938.5
IRQ,1607.0
NOR,1853.5
ARG,2083.0
ALG,1802.5
AUT,1896.0
JOR,1539.0
POR,2049.0
COD,1624.0
UZB,1675.0
COL,1989.5
ENG,2066.0
CRO,2015.0
GHA,1488.0
PAN,1845.0
