phase,match_id,group,team_a,team_b,goals_a,goals_b,winner_team,played_at
group,,A,MEX,RSA,2,0,,2026-06-11
group,,A,KOR,CZE,2,1,,2026-06-11
group,,B,CAN,BIH,1,1,,2026-06-12
group,,D,USA,PAR,4,1,,2026-06-12
group,,B,SUI,QAT,1,1,,2026-06-13
group,,C,BRA,MAR,1,1,,2026-06-13
group,,C,SCO,HAI,1,0,,2026-06-13
group,,D,AUS,TUR,2,0,,2026-06-14
group,,E,GER,CUW,7,1,,2026-06-14
group,,F,NED,JPN,2,2,,2026-06-14
group,,E,CIV,ECU,1,0,,2026-06-14
group,,F,SWE,TUN,5,1,,2026-06-14
group,,H,ESP,CPV,0,0,,2026-06-15
group,,G,BEL,EGY,1,1,,2026-06-15
group,,H,KSA,URU,1,1,,2026-06-15
group,,G,IRN,NZL,2,2,,2026-06-15
group,,I,FRA,SEN,3,1,,2026-06-16
group,,I,NOR,IRQ,4,1,,2026-06-16
group,,J,ARG,ALG,3,0,,2026-06-16
group,,J,AUT,JOR,3,1,,2026-06-17
group,,K,POR,COD,1,1,,2026-06-17
group,,L,ENG,CRO,4,2,,2026-06-17
group,,L,GHA,PAN,1,0,,2026-06-17
group,,K,COL,UZB,3,1,,2026-06-17
group,,A,CZE,RSA,1,1,,2026-06-18
group,,B,SUI,BIH,4,1,,2026-06-18
group,,B,CAN,QAT,6,0,,2026-06-18
group,,A,MEX,KOR,1,0,,2026-06-18
group,,D,USA,AUS,2,0,,2026-06-19
group,,C,MAR,SCO,1,0,,2026-06-19
group,,C,BRA,HAI,3,0,,2026-06-19
group,,D,PAR,TUR,1,0,,2026-06-19
group,,F,NED,SWE,5,1,,2026-06-20
group,,E,GER,CIV,2,1,,2026-06-20
group,,E,ECU,CUW,0,0,,2026-06-20
group,,F,JPN,TUN,4,0,,2026-06-21
group,,H,ESP,KSA,4,0,,2026-06-21
group,,G,BEL,IRN,0,0,,2026-06-21
group,,H,URU,CPV,2,2,,2026-06-21
group,,G,EGY,NZL,3,1,,2026-06-21
group,,J,ARG,AUT,2,0,,2026-06-22
group,,I,FRA,IRQ,3,0,,2026-06-22
group,,I,NOR,SEN,3,2,,2026-06-22
group,,J,ALG,JOR,2,1,,2026-06-22
group,,K,POR,UZB,5,0,,2026-06-23
group,,L,ENG,GHA,0,0,,2026-06-23
group,,L,CRO,PAN,1,0,,2026-06-23
group,,K,COL,COD,1,0,,2026-06-23
group,,B,SUI,CAN,2,1,,2026-06-24
group,,B,BIH,QAT,3,1,,2026-06-24
group,,C,MAR,HAI,4,2,,2026-06-24
group,,C,BRA,SCO,3,0,,2026-06-24
group,,A,RSA,KOR,1,0,,2026-06-24
group,,A,MEX,CZE,3,0,,2026-06-24
group,,E,CIV,CUW,2,0,,2026-06-25
group,,E,ECU,GER,2,1,,2026-06-25
group,,F,NED,TUN,3,1,,2026-06-25
group,,F,JPN,SWE,1,1,,2026-06-25
group,,D,TUR,USA,3,2,,2026-06-25
group,,D,PAR,AUS,0,0,,2026-06-25
group,,I,FRA,NOR,4,1,,2026-06-26
group,,I,SEN,IRQ,5,0,,2026-06-26
group,,H,CPV,KSA,0,0,,2026-06-26
group,,H,ESP,URU,1,0,,2026-06-26
group,,G,NZL,BEL,1,5,,2026-06-26
group,,G,EGY,IRN,1,1,,2026-06-26
