team,attack_score,defence_score,overall_score,matches_used
Argentina,2.727902814831664,0.1520417047352492,17.9418062930942,55
Spain,3.4437922697829007,0.2219173907996744,15.518352380465863,54
England,2.449385941269185,0.21382136987829484,11.4552906599717,53
Colombia,2.8283872088666135,0.25159408082546764,11.241867056596945,51
Portugal,2.8542996212916574,0.2620835053647792,10.890802217098399,53
France,2.6559325025960563,0.24429456523107124,10.871844406705838,55
Brazil,2.7905409261265466,0.26122716099998217,10.68243024746855,50
Germany,2.9235278475890603,0.29954705909216583,9.759828243513276,52
Morocco,1.8356534180589383,0.19112171483847487,9.604630324766223,71
Uruguay,1.8362977722083562,0.20331689865699287,9.03170264910589,50
Ecuador,1.527958144133656,0.17044284449388722,8.96463649542328,52
Netherlands,2.79462135869532,0.31303220035172963,8.927584304602606,53
Norway,2.7998852363128917,0.3247954163873687,8.62045797152998,44
Japan,2.1967836412923116,0.27687883245576717,7.934097459917812,56
Belgium,2.2341618812290984,0.30713107138441087,7.274294558210884,50
Switzerland,2.38204349189522,0.33132661460149926,7.189411858024765,52
Croatia,2.0848052310402467,0.29111096875848846,7.161548188759054,53
Denmark,2.081531154703789,0.3061413164094535,6.799249376454018,49
Austria,2.0085234316402754,0.30631929453530526,6.556960228990016,47
Senegal,1.882302036310321,0.300289005703473,6.26830153804912,65
Italy,2.1392995770645076,0.3564722596289783,6.001307308712107,49
Turkiye,2.245037213647712,0.39041055148931614,5.750452197266367,49
Greece,1.8504037366772426,0.3268598893317943,5.6611526744993315,44
Russia,1.5097378642028083,0.27183532657361603,5.553869260601618,28
Mexico,1.6050317853050728,0.29814593031287634,5.383376468096484,77
Paraguay,1.5468472470375962,0.299478839889761,5.165130356478592,44
Australia,1.6577508270328705,0.3334842713542767,4.971001541694182,51
Scotland,1.9118034473391485,0.38601503582265784,4.952665751127541,47
Algeria,1.7328839620038792,0.3657544395359163,4.737834390206257,62
Nigeria,1.748866354516084,0.3725567868281247,4.694227608643473,60
Venezuela,1.794327947229205,0.4189899857612028,4.282507955337759,46
Canada,1.570689081748645,0.37828409320650713,4.152141498826381,58
Egypt,1.334049479513509,0.3215217582395103,4.149173252902341,62
Kosovo,1.5542276996826685,0.3756193434779841,4.137773324695045,43
Ukraine,1.8187219536177186,0.4452419447884633,4.084794738918416,45
Sweden,2.0635512381446266,0.5207996065344711,3.96227495615061,47
Iran,1.7072563771298812,0.4324922523618376,3.9474843024506554,51
Czechia,1.7548750254071093,0.44812476192992845,3.9160411887292947,47
South Korea,1.7285536027961534,0.4455252449357285,3.879810678394924,61
Ivory Coast,1.4023056967541996,0.3650458371308915,3.841451001813195,56
Mali,1.1413978473197801,0.303203072900092,3.7644666210090834,48
Georgia,1.6989707361442263,0.4538589051854788,3.743389667433995,46
Serbia,1.4884953992396046,0.3982648212194713,3.7374513638485314,49
DR Congo,1.1651714036363066,0.3121709530527548,3.7324786058470996,52
Hungary,1.489205752395656,0.40420433655622207,3.684289399474361,47
Poland,1.6693258807164464,0.45615117705680625,3.659589111415488,50
Romania,1.470329952248112,0.40541449415211306,3.6267325748260952,48
Chile,1.4464485334555344,0.3996895791078024,3.6189298121915883,47
Slovenia,1.1581480054326363,0.3205772716034685,3.612695309432865,49
United States,1.6019121413722899,0.4448342902890857,3.6011435636655857,70
Uzbekistan,1.1738280982824587,0.3397850651579934,3.454619459912553,52
Tunisia,1.217854077840316,0.36973333473330944,3.293871456623624,63
Ireland,1.240923883873429,0.3885529241309915,3.1937062026975775,45
Wales,1.410592249453368,0.44646000351642295,3.159504184794192,46
Slovakia,1.324388779519336,0.42507446139510635,3.1156630185983296,48
Israel,1.8186871072426622,0.5905221612921773,3.079794843368827,40
Albania,0.9758592501830284,0.33568258318619865,2.9070893131257045,47
Cameroon,1.2040002057912118,0.41791211359001684,2.880989008546349,54
Northern Ireland,1.1763081000185986,0.41781377176124807,2.8153885283867046,42
Iceland,1.6292150767818911,0.5869864748181188,2.7755581204604636,53
Peru,0.8907781400477088,0.32579621452968194,2.734157428236643,48
Jordan,1.5081132497684209,0.552503824677513,2.7295978460396735,60
South Africa,1.2893081475989825,0.4806717413108569,2.6823048596176355,59
Iraq,1.1266010454596072,0.4395669808781309,2.5629792374508567,59
Panama,1.4160546113182992,0.5645962647425785,2.5080835629756315,70
Ghana,1.2623811213030642,0.5313486691946638,2.3758055576132078,52
Burkina Faso,1.4246536420901383,0.6045546158505307,2.3565342232741595,59
