team_id,team_name,group,fifa_rank
MEX,Mexico,A,15
RSA,South Africa,A,61
KOR,South Korea,A,22
CZE,Czechia,A,44
CAN,Canada,B,27
BIH,Bosnia and Herzegovina,B,71
QAT,Qatar,B,51
SUI,Switzerland,B,17
BRA,Brazil,C,5
MAR,Morocco,C,11
HAI,Haiti,C,84
SCO,Scotland,C,36
USA,United States,D,14
PAR,Paraguay,D,39
AUS,Australia,D,26
TUR,Turkiye,D,25
GER,Germany,E,9
CUW,Curacao,E,82
CIV,Ivory Coast,E,42
ECU,Ecuador,E,23
NED,Netherlands,F,7
JPN,Japan,F,18
SWE,Sweden,F,43
TUN,Tunisia,F,40
BEL,Belgium,G,8
EGY,Egypt,G,32
IRN,Iran,G,20
NZL,New Zealand,G,86
ESP,Spain,H,1
CPV,Cape Verde,H,68
KSA,Saudi Arabia,H,60
URU,Uruguay,H,16
FRA,France,I,3
SEN,Senegal,I,19
IRQ,Iraq,I,58
NOR,Norway,I,29
ARG,Argentina,J,2
ALG,Algeria,J,35
AUT,Austria,J,24
JOR,Jordan,J,66
POR,Portugal,K,6
COD,DR Congo,K,56
UZB,Uzbekistan,K,50
COL,Colombia,K,13
ENG,England,L,4
CRO,Croatia,L,10
GHA,Ghana,L,72
PAN,Panama,L,30
