team,group,p_place_1,p_place_2,p_place_3,p_place_4,p_advance_group,p_advance_best_third,p_eliminated_group
Czechia,A,0.24757,0.2634,0.26062,0.22841,0.51097,0.19062,0.29840999999999995
Mexico,A,0.37998,0.28185,0.20545,0.13272,0.66183,0.15864,0.17952999999999997
South Africa,A,0.12458,0.19149,0.27405,0.40988,0.31607,0.18672,0.49720999999999993
South Korea,A,0.24787,0.26326,0.25988,0.22899,0.51113,0.19109,0.29778000000000004
Bosnia and Herzegovina,B,0.08616,0.22312,0.38147,0.30925,0.30928,0.23756,0.45316
Canada,B,0.25495,0.40326,0.2362,0.10559,0.65821,0.17122,0.17057000000000003
Qatar,B,0.03823,0.12104,0.28522,0.55551,0.15927,0.15495,0.68578
Switzerland,B,0.62066,0.25258,0.09711,0.02965,0.87324,0.08277,0.04398999999999999
Brazil,C,0.4966,0.31788,0.15982,0.0257,0.81448,0.1384,0.04712000000000002
Haiti,C,0.00912,0.03711,0.1536,0.80017,0.04623,0.07213,0.88164
Morocco,C,0.35112,0.38006,0.22732,0.0415,0.73118,0.18386,0.08495999999999995
Scotland,C,0.14316,0.26495,0.45926,0.13263,0.40811,0.33298,0.25891000000000003
Australia,D,0.25245,0.26283,0.25708,0.22764,0.51528,0.18966,0.29506000000000004
Paraguay,D,0.25878,0.26841,0.25646,0.21635,0.52719,0.19094,0.28186999999999995
Turkiye,D,0.33748,0.26533,0.2213,0.17589,0.60281,0.1693,0.22789000000000004
United States,D,0.15129,0.20343,0.26516,0.38012,0.35472,0.1811,0.46418000000000004
Curacao,E,0.00799,0.03885,0.16849,0.78467,0.04684,0.07577,0.87739
Ecuador,E,0.34612,0.40431,0.21005,0.03952,0.75043,0.16349,0.08607999999999996
Germany,E,0.5333,0.30856,0.13782,0.02032,0.84186,0.11936,0.03877999999999995
Ivory Coast,E,0.11259,0.24828,0.48364,0.15549,0.36087,0.326,0.31312999999999996
Japan,F,0.35852,0.33365,0.20073,0.1071,0.69217,0.15188,0.15595000000000006
Netherlands,F,0.45925,0.30101,0.16213,0.07761,0.76026,0.12846,0.11127999999999996
Sweden,F,0.1068,0.19608,0.32095,0.37617,0.30288,0.20763,0.48949
Tunisia,F,0.07543,0.16926,0.31619,0.43912,0.24469,0.19851,0.5568000000000001
Belgium,G,0.5292,0.2652,0.1473,0.0583,0.7944,0.11752,0.08808
Egypt,G,0.21277,0.31112,0.30182,0.17429,0.52389,0.20686,0.26925000000000004
Iran,G,0.21329,0.30055,0.29877,0.18739,0.51384,0.20791,0.27825
New Zealand,G,0.04474,0.12313,0.25211,0.58002,0.16787,0.14653,0.6856
Cape Verde,H,0.02065,0.10714,0.36633,0.50588,0.12779,0.16594,0.7062700000000001
Saudi Arabia,H,0.02432,0.12309,0.42043,0.43216,0.14741,0.19717,0.6554199999999999
Spain,H,0.68058,0.25646,0.05192,0.01104,0.93704,0.04407,0.018890000000000018
Uruguay,H,0.27445,0.51331,0.16132,0.05092,0.78776,0.11073,0.10150999999999999
France,I,0.44961,0.30097,0.18467,0.06475,0.75058,0.14669,0.10272999999999999
Iraq,I,0.03344,0.09178,0.22684,0.64794,0.12522,0.12764,0.74714
Norway,I,0.3333,0.32489,0.2404,0.10141,0.65819,0.18332,0.15848999999999994
Senegal,I,0.18365,0.28236,0.34809,0.1859,0.46601,0.24242,0.29157
Algeria,J,0.10507,0.27494,0.37031,0.24968,0.38001,0.2412,0.37879000000000007
Argentina,J,0.6774,0.22346,0.079,0.02014,0.90086,0.0679,0.031240000000000004
Austria,J,0.18598,0.38306,0.28658,0.14438,0.56904,0.19946,0.2315
Jordan,J,0.03155,0.11854,0.26411,0.5858,0.15009,0.14242,0.70749
Colombia,K,0.44055,0.3341,0.15639,0.06896,0.77465,0.11898,0.10637000000000005
DR Congo,K,0.06941,0.17033,0.35111,0.40915,0.23974,0.2036,0.5566599999999999
Portugal,K,0.429,0.3384,0.16065,0.07195,0.7674,0.12101,0.11159000000000002
Uzbekistan,K,0.06104,0.15717,0.33185,0.44994,0.21821,0.18498,0.59681
Croatia,L,0.32052,0.42749,0.18151,0.07048,0.74801,0.13593,0.11606000000000005
England,L,0.58857,0.29339,0.0911,0.02694,0.88196,0.07565,0.04239000000000004
Ghana,L,0.04273,0.13457,0.35931,0.46339,0.1773,0.19998,0.6227199999999999
Panama,L,0.04818,0.14455,0.36808,0.43919,0.19273,0.20905,0.59822
