team,p_r32,p_r16,p_qf,p_sf,p_final,p_champion
Argentina,0.96876,0.64071,0.48358,0.33792,0.22406,0.14527
Spain,0.98111,0.66642,0.45945,0.3353,0.22242,0.13747
England,0.95761,0.61741,0.39494,0.23602,0.13185,0.07176
Brazil,0.95288,0.60347,0.384,0.22575,0.1196,0.06309
Portugal,0.88841,0.59527,0.36393,0.2112,0.11873,0.06283
France,0.89727,0.59753,0.3626,0.21739,0.11701,0.06251
Colombia,0.89363,0.59845,0.36598,0.20958,0.11681,0.06122
Germany,0.96122,0.60927,0.34489,0.19915,0.10011,0.04993
Morocco,0.91504,0.54003,0.32836,0.18096,0.08941,0.0428
Netherlands,0.88872,0.46771,0.29484,0.15928,0.07663,0.03607
Uruguay,0.89849,0.45431,0.26345,0.14381,0.0733,0.03402
Ecuador,0.91392,0.51926,0.26646,0.13817,0.06427,0.02865
Belgium,0.91192,0.58703,0.31744,0.13591,0.06512,0.02784
Norway,0.84151,0.48762,0.25512,0.12835,0.05719,0.02482
Switzerland,0.95601,0.6122,0.28446,0.1229,0.05445,0.02237
Japan,0.84405,0.40937,0.23507,0.11697,0.05199,0.02225
Croatia,0.88394,0.4557,0.22938,0.11548,0.05193,0.02175
Austria,0.7685,0.32233,0.1578,0.07185,0.03007,0.01154
Senegal,0.70843,0.3578,0.1687,0.07349,0.02967,0.0112
Mexico,0.82047,0.46367,0.20051,0.07829,0.02943,0.01082
Turkiye,0.77211,0.43012,0.18607,0.06743,0.02609,0.00905
Australia,0.70494,0.36047,0.14377,0.05018,0.01801,0.00591
Paraguay,0.71813,0.3604,0.1412,0.04854,0.01735,0.00587
Scotland,0.74109,0.30261,0.12836,0.0458,0.01451,0.00463
Canada,0.82943,0.4153,0.14632,0.04546,0.01446,0.00422
Egypt,0.73075,0.33435,0.11615,0.03533,0.01196,0.00372
Iran,0.72175,0.33429,0.11626,0.0348,0.01097,0.00324
Algeria,0.62121,0.2189,0.08789,0.03078,0.01039,0.00314
South Korea,0.70222,0.33786,0.11947,0.03479,0.00998,0.0026
Ivory Coast,0.68687,0.25653,0.08423,0.02608,0.007,0.00179
United States,0.53582,0.23607,0.07781,0.02308,0.00698,0.00175
Czechia,0.70159,0.31854,0.10332,0.02814,0.00722,0.00163
Sweden,0.51051,0.14398,0.05099,0.01568,0.00406,0.00087
DR Congo,0.44334,0.14538,0.04699,0.01462,0.00379,0.00083
Tunisia,0.4432,0.12103,0.03871,0.01101,0.00281,0.00071
Uzbekistan,0.40319,0.13089,0.04066,0.01234,0.00326,0.00068
South Africa,0.50279,0.17619,0.04389,0.00842,0.00172,0.00029
Panama,0.40178,0.0923,0.02419,0.00616,0.00128,0.00027
Bosnia and Herzegovina,0.54684,0.16311,0.03479,0.00535,0.00095,0.00016
Jordan,0.29251,0.06484,0.01649,0.00319,0.00068,0.00012
Cape Verde,0.29373,0.06222,0.01317,0.00209,0.00038,9e-05
Saudi Arabia,0.34458,0.08242,0.01921,0.00352,0.00068,8e-05
Iraq,0.25286,0.06606,0.01771,0.00378,0.00069,8e-05
Ghana,0.37728,0.06977,0.01561,0.00293,0.00046,4e-05
Qatar,0.31422,0.0723,0.01173,0.00121,0.00012,1e-05
Haiti,0.11836,0.01624,0.00257,0.00029,5e-05,1e-05
Curacao,0.12261,0.01619,0.00177,0.00014,1e-05,0.0
New Zealand,0.3144,0.06608,0.00971,0.00109,9e-05,0.0
