team,team_id,group,attack_score,defence_score,overall_score,matches_used,rating_source
Czechia,CZE,A,1.7548750254071093,0.4481247619299284,3.9160411887292943,47,trained
Mexico,MEX,A,1.6050317853050728,0.2981459303128763,5.383376468096484,77,trained
South Africa,RSA,A,1.2893081475989825,0.4806717413108569,2.6823048596176355,59,trained
South Korea,KOR,A,1.7285536027961534,0.4455252449357285,3.879810678394924,61,trained
Bosnia and Herzegovina,BIH,B,1.1873094943030562,0.5234420893163495,2.268272877814931,41,trained
Canada,CAN,B,1.570689081748645,0.3782840932065071,4.152141498826381,58,trained
Qatar,QAT,B,1.1938487967610223,0.7581659282116543,1.5746537167359231,61,trained
Switzerland,SUI,B,2.38204349189522,0.3313266146014992,7.189411858024765,52,trained
Brazil,BRA,C,2.7905409261265466,0.2612271609999821,10.68243024746855,50,trained
Haiti,HAI,C,1.193888521755358,0.7622876445063563,1.5661916211806088,39,trained
Morocco,MAR,C,1.8356534180589383,0.1911217148384748,9.604630324766225,71,trained
Scotland,SCO,C,1.9118034473391483,0.3860150358226578,4.952665751127541,47,trained
Australia,AUS,D,1.6577508270328705,0.3334842713542767,4.971001541694182,51,trained
Paraguay,PAR,D,1.5468472470375962,0.299478839889761,5.165130356478592,44,trained
Turkiye,TUR,D,2.245037213647712,0.3904105514893161,5.750452197266367,49,trained
United States,USA,D,1.60191214137229,0.4448342902890857,3.6011435636655857,70,trained
Curacao,CUW,E,0.8348923161525823,0.7187762852771313,1.161546830709198,39,trained
Ecuador,ECU,E,1.527958144133656,0.1704428444938872,8.96463649542328,52,trained
Germany,GER,E,2.9235278475890603,0.2995470590921658,9.759828243513276,52,trained
Ivory Coast,CIV,E,1.4023056967541996,0.3650458371308915,3.841451001813195,56,trained
Japan,JPN,F,2.1967836412923116,0.2768788324557671,7.934097459917812,56,trained
Netherlands,NED,F,2.79462135869532,0.3130322003517296,8.927584304602606,53,trained
Sweden,SWE,F,2.0635512381446266,0.5207996065344711,3.96227495615061,47,trained
Tunisia,TUN,F,1.217854077840316,0.3697333347333094,3.293871456623624,63,trained
Belgium,BEL,G,2.2341618812290984,0.3071310713844108,7.274294558210884,50,trained
Egypt,EGY,G,1.334049479513509,0.3215217582395103,4.149173252902341,62,trained
Iran,IRN,G,1.7072563771298812,0.4324922523618376,3.9474843024506554,51,trained
New Zealand,NZL,G,0.8624753225783807,0.5020630996833317,1.7178624023999636,43,trained
Cape Verde,CPV,H,1.0663174546085803,0.5190130215152428,2.054510022687868,51,trained
Saudi Arabia,KSA,H,0.9474491076408036,0.4342459443557844,2.1818260365018953,74,trained
Spain,ESP,H,3.4437922697829007,0.2219173907996744,15.518352380465863,54,trained
Uruguay,URU,H,1.836297772208356,0.2033168986569928,9.03170264910589,50,trained
France,FRA,I,2.6559325025960563,0.2442945652310712,10.871844406705838,55,trained
Iraq,IRQ,I,1.1266010454596072,0.4395669808781309,2.5629792374508567,59,trained
Norway,NOR,I,2.7998852363128917,0.3247954163873687,8.62045797152998,44,trained
Senegal,SEN,I,1.882302036310321,0.300289005703473,6.26830153804912,65,trained
Algeria,ALG,J,1.7328839620038792,0.3657544395359163,4.737834390206257,62,trained
Argentina,ARG,J,2.727902814831664,0.1520417047352492,17.9418062930942,55,trained
Austria,AUT,J,2.0085234316402754,0.3063192945353052,6.556960228990016,47,trained
Jordan,JOR,J,1.5081132497684209,0.552503824677513,2.7295978460396735,60,trained
Colombia,COL,K,2.8283872088666135,0.2515940808254676,11.241867056596943,51,trained
DR Congo,COD,K,1.1651714036363066,0.3121709530527548,3.732478605847099,52,trained
Portugal,POR,K,2.854299621291658,0.2620835053647792,10.8908022170984,53,trained
Uzbekistan,UZB,K,1.1738280982824587,0.3397850651579934,3.454619459912553,52,trained
Croatia,CRO,L,2.0848052310402467,0.2911109687584884,7.161548188759054,53,trained
England,ENG,L,2.449385941269185,0.2138213698782948,11.4552906599717,53,trained
Ghana,GHA,L,1.2623811213030642,0.5313486691946638,2.375805557613208,52,trained
Panama,PAN,L,1.4160546113182992,0.5645962647425785,2.5080835629756315,70,trained
